title,year,certificate,duration,"genre",rating,"description",stars,votes
Cobra Kai,2018,TV-14,30,"Action, Comedy, Drama",8.5,"Decades after their 1984 All Valley Karate Tournament bout, a middle-aged Daniel LaRusso and Johnny Lawrence find themselves martial-arts rivals again.","[Ralph Macchio,William Zabka,Courtney Henggeler,Xolo Maridueña]",177031
The Crown,2016,TV-MA,58,"Biography, Drama, History",8.7,"Follows the political rivalries and romance of Queen Elizabeth II's reign and the events that shaped the second half of the twentieth century.","[Claire Foy,Olivia Colman,Imelda Staunton,Matt Smith]",199885
Better Call Saul,2015-2022,TV-MA,46,"Crime, Drama",8.9,"The trials and tribulations of criminal lawyer Jimmy McGill before his fateful run-in with Walter White and Jesse Pinkman.","[Bob Odenkirk,Rhea Seehorn,Jonathan Banks,Patrick Fabian]",501384
Devil in Ohio,2022,TV-MA,356,"Drama, Horror, Mystery",5.9,"When a psychiatrist shelters a mysterious cult escapee, her world is turned upside down as the girl's arrival threatens to tear her own family apart.","[Emily Deschanel,Sam Jaeger,Gerardo Celasco,Madeleine Arthur]",9773
Cyberpunk: Edgerunners,2022,TV-MA,24,"Animation, Action, Adventure",8.6,"A Street Kid trying to survive in a technology and body modification-obsessed city of the future. Having everything to lose, he chooses to stay alive by becoming an Edgerunner, a Mercenary outlaw also known as a Cyberpunk.","[Zach Aguilar,Kenichiro Ohashi,Emi Lo,Aoi Yûki]",15413
The Sandman,2022,TV-MA,45,"Drama, Fantasy, Horror",7.8,"Upon escaping after decades of imprisonment by a mortal wizard, Dream, the personification of dreams, sets about to reclaim his lost equipment.","[Tom Sturridge,Boyd Holbrook,Patton Oswalt,Vivienne Acheampong]",116358
Rick and Morty,2013,TV-MA,23,"Animation, Adventure, Comedy",9.2,"An animated series that follows the exploits of a super scientist and his not-so-bright grandson.","[Justin Roiland,Chris Parnell,Spencer Grammer,Sarah Chalke]",502160
Breaking Bad,2008-2013,TV-MA,49,"Crime, Drama, Thriller",9.5,"A high school chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine in order to secure his family's future.","[Bryan Cranston,Aaron Paul,Anna Gunn,Betsy Brandt]",1831340
The Imperfects,2022,TV-MA,45,"Action, Adventure, Drama",6.3,"After an experimental gene therapy turns them into monsters, three twenty-somethings band together to hunt down the scientist responsible and force him to make them human again.","[Morgan Taylor Campbell,Italia Ricci,Rhianna Jagpal,Iñaki Godoy]",3123
Blonde,2022,NC-17,166,"Biography, Drama, Mystery",6.2,"A fictionalized chronicle of the inner life of Marilyn Monroe.","[Andrew Dominik,Ana de Armas,Lucy DeVito,Garret Dillahunt,Adrien Brody]",935
Stranger Things,2016,TV-14,51,"Drama, Fantasy, Horror",8.7,"When a young boy disappears, his mother, a police chief and his friends must confront terrifying supernatural forces in order to get him back.","[Millie Bobby Brown,Finn Wolfhard,Winona Ryder,Caleb McLaughlin]",1149889
End of the Road (II),2022,R,89,"Action, Crime, Drama",4.7,"In this high-octane action thriller, a cross-country road trip becomes a highway to hell for Brenda and her family. Alone in the New Mexico desert, they have to fight for their lives when they become the targets of a mysterious killer.","[Millicent Shelton,Queen Latifah,Ludacris,Mychala Lee,Shaun Dixon]",5122
The Walking Dead,2010-2022,TV-MA,44,"Drama, Horror, Thriller",8.1,"Sheriff Deputy Rick Grimes wakes up from a coma to learn the world is in ruins and must lead a group of survivors to stay alive.","[Andrew Lincoln,Norman Reedus,Melissa McBride,Lauren Cohan]",970060
Glass Onion: A Knives Out Mystery,2022,PG-13,139,"Crime, Drama, Mystery",8.1,"Famed Southern detective Benoit Blanc travels to Greece for his latest case.","[Rian Johnson,Daniel Craig,Edward Norton,Kate Hudson,Dave Bautista]",547
Do Revenge,2022,TV-MA,118,"Comedy",6.4,"Drea and Eleanor agree to go after one another's bullies.","[Jennifer Kaytin Robinson,Camila Mendes,Maya Hawke,Austin Abrams,Rish Shah]",13457
